SKU_ID,Product,Price,MFG_Date,Warehouse
SUG-MAT-684,Matte Crayon Lipstick,₹1299,26/02/2025,Mumbai-North
SUG-ACE-884,Ace Foundation Stick,₹499,06/03/2025,Bengaluru-Hub
SUG-KOH-744,Kohl Pencil,₹599,22/01/2025,
SUG-MAT-323,Matte Crayon Lipstick,₹799,02/01/2025,
SUG-MAT-494,Matte Crayon Lipstick,₹599,24/08/2024,Bengaluru-Hub
SUG-ACE-100,Ace Foundation Stick,₹499,07/03/2025,Bengaluru-Hub
SUG-KOH-153,Kohl Pencil,₹799,24/10/2025,Mumbai-North
SUG-ACE-700,Ace Foundation Stick,₹1299,03/12/2024,Mumbai-North
SUG-KOH-566,Kohl Pencil,₹599,13/07/2025,
SUG-VIT-631,Vitamin C Serum,₹799,12/01/2025,
SUG-KOH-747,Kohl Pencil,₹599,31/01/2025,Bengaluru-Hub
SUG-VIT-813,Vitamin C Serum,₹599,01/07/2025,Bengaluru-Hub
SUG-VIT-351,Vitamin C Serum,₹599,29/06/2025,
SUG-ACE-597,Ace Foundation Stick,₹599,01/09/2024,Bengaluru-Hub
SUG-VIT-164,Vitamin C Serum,₹499,15/05/2025,Bengaluru-Hub
SUG-KOH-252,Kohl Pencil,₹599,02/01/2025,Mumbai-North
SUG-ACE-814,Ace Foundation Stick,₹1299,29/12/2024,Bengaluru-Hub
SUG-VIT-501,Vitamin C Serum,₹1299,03/07/2025,Mumbai-North
SUG-MAT-452,Matte Crayon Lipstick,₹599,04/06/2025,
SUG-ACE-249,Ace Foundation Stick,₹799,08/10/2025,Bengaluru-Hub
SUG-ACE-642,Ace Foundation Stick,₹1299,17/08/2024,
SUG-MAT-829,Matte Crayon Lipstick,₹599,01/04/2025,Bengaluru-Hub
SUG-KOH-980,Kohl Pencil,₹1299,18/12/2024,Bengaluru-Hub
SUG-MAT-987,Matte Crayon Lipstick,₹1299,13/05/2025,
SUG-ACE-700,Ace Foundation Stick,₹499,26/11/2025,Mumbai-North
SUG-VIT-139,Vitamin C Serum,₹599,17/05/2025,
SUG-VIT-130,Vitamin C Serum,₹499,24/02/2025,Mumbai-North
SUG-MAT-695,Matte Crayon Lipstick,₹499,29/05/2025,Mumbai-North
SUG-KOH-376,Kohl Pencil,₹799,14/11/2025,Mumbai-North
SUG-VIT-726,Vitamin C Serum,₹599,06/03/2025,Mumbai-North
SUG-MAT-987,Matte Crayon Lipstick,₹799,19/09/2024,
SUG-MAT-755,Matte Crayon Lipstick,₹1299,12/08/2024,
SUG-MAT-493,Matte Crayon Lipstick,₹1299,08/08/2025,Mumbai-North
SUG-ACE-609,Ace Foundation Stick,₹1299,29/10/2024,
SUG-ACE-171,Ace Foundation Stick,₹799,12/02/2025,
SUG-VIT-685,Vitamin C Serum,₹799,29/08/2025,
SUG-ACE-553,Ace Foundation Stick,₹1299,21/03/2025,Mumbai-North
SUG-ACE-393,Ace Foundation Stick,₹1299,24/04/2025,Mumbai-North
SUG-KOH-532,Kohl Pencil,₹599,28/08/2024,
SUG-ACE-344,Ace Foundation Stick,₹1299,13/02/2025,Bengaluru-Hub
SUG-VIT-383,Vitamin C Serum,₹1299,11/07/2025,Bengaluru-Hub
SUG-MAT-254,Matte Crayon Lipstick,₹1299,30/06/2025,Mumbai-North
SUG-KOH-484,Kohl Pencil,₹1299,08/05/2025,Mumbai-North
SUG-MAT-978,Matte Crayon Lipstick,₹799,26/10/2025,Bengaluru-Hub
SUG-ACE-112,Ace Foundation Stick,₹1299,07/02/2025,Bengaluru-Hub
SUG-VIT-787,Vitamin C Serum,₹499,10/10/2025,
SUG-MAT-649,Matte Crayon Lipstick,₹599,26/07/2024,Mumbai-North
SUG-MAT-641,Matte Crayon Lipstick,₹499,26/04/2025,Mumbai-North
SUG-KOH-101,Kohl Pencil,₹799,18/07/2025,Mumbai-North
SUG-KOH-829,Kohl Pencil,₹799,06/07/2025,Bengaluru-Hub
